Strategy,P1,P2,P3,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, ,,Strategy,Withdrawal,StartEq,SuccessRate,Aver
1,0,0,0,400,10000,4000000,0,50,2.5,11,"2,025,065","6,189,460",0,0.9997,,,1,2.5,0,0.9997,2.03
1,0,0,0,400,10000,4000000,0,100,2.5,11,"2,999,167","11,062,275",0,0.999,,,1,2.5,0,0.999,3.00
1,0,0,0,400,10000,4000000,0,0,2.5,11,"1,166,945","3,543,568",0,0.9992,,,1,2.5,0,0.9992,1.17
1,0,0,0,400,10000,4000000,10,45,2.5,11,"2,925,549","12,238,630","17,354",1,,,1,2.5,10,1,2.93
1,0,0,0,400,10000,4000000,20,40,2.5,11,"3,928,649","16,580,025","153,891",1,,,1,2.5,20,1,3.93
1,0,0,0,400,10000,4000000,30,35,2.5,11,"4,970,680","16,530,997","52,693",1,,,1,2.5,30,1,4.97
1,0,0,0,400,10000,4000000,40,30,2.5,11,"6,068,540","27,270,182","228,876",1,,,1,2.5,40,1,6.07
1,0,0,0,400,10000,4000000,50,25,2.5,11,"7,161,435","38,357,262","524,596",1,,,1,2.5,50,1,7.16
1,0,0,0,400,10000,4000000,55,18,2.5,11,"7,664,679","31,927,122","363,265",1,,,1,2.5,55,1,7.66
1,0,0,0,400,10000,4000000,60,20,2.5,11,"8,306,617","39,203,254","274,289",1,,,1,2.5,60,1,8.31
1,0,0,0,400,10000,4000000,70,15,2.5,11,"9,481,837","46,231,042","516,209",1,,,1,2.5,70,1,9.48
1,0,0,0,400,10000,4000000,80,10,2.5,11,"10,893,077","65,085,399",0,0.9998,,,1,2.5,80,0.9998,10.89
1,0,0,0,400,10000,4000000,90,5,2.5,11,"12,057,656","84,859,887","244,679",1,,,1,2.5,90,1,12.06
1,0,0,0,400,10000,4000000,100,0,2.5,11,"13,484,654","70,294,075",0,0.9997,,,1,2.5,100,0.9997,13.48
2,0,0,0,400,10000,4000000,0,100,2.5,11,"3,365,705","8,037,026","1,375,028",1,,,2,2.5,0,1,3.37
2,0,0,0,400,10000,4000000,0,0,2.5,11,"2,189,055","3,739,592","1,360,442",1,,,2,2.5,0,1,2.19
2,0,0,0,400,10000,4000000,0,50,2.5,11,"2,776,866","5,757,179","1,495,317",1,,,2,2.5,0,1,2.78
2,0,0,0,400,10000,4000000,10,45,2.5,11,"3,384,704","8,185,672","1,545,257",1,,,2,2.5,10,1,3.38
2,0,0,0,400,10000,4000000,20,40,2.5,11,"4,032,482","11,676,184","1,826,863",1,,,2,2.5,20,1,4.03
2,0,0,0,400,10000,4000000,30,35,2.5,11,"4,675,270","22,306,400","1,490,638",1,,,2,2.5,30,1,4.68
2,0,0,0,400,10000,4000000,40,30,2.5,11,"5,299,529","16,436,433","1,882,205",1,,,2,2.5,40,1,5.30
2,0,0,0,400,10000,4000000,50,25,2.5,11,"5,995,749","19,979,793","1,559,409",1,,,2,2.5,50,1,6.00
2,0,0,0,400,10000,4000000,55,18,2.5,11,"6,269,167","18,909,768","1,825,224",1,,,2,2.5,55,1,6.27
2,0,0,0,400,10000,4000000,60,20,2.5,11,"6,672,545","23,294,413","1,699,218",1,,,2,2.5,60,1,6.67
2,0,0,0,400,10000,4000000,70,15,2.5,11,"7,243,578","32,222,135","2,135,934",1,,,2,2.5,70,1,7.24
2,0,0,0,400,10000,4000000,80,10,2.5,11,"7,954,870","41,012,529","2,170,943",1,,,2,2.5,80,1,7.95
2,0,0,0,400,10000,4000000,90,5,2.5,11,"8,704,519","50,113,581","2,302,660",1,,,2,2.5,90,1,8.70
2,0,0,0,400,10000,4000000,100,0,2.5,11,"9,357,522","34,208,907","2,048,801",1,,,2,2.5,100,1,9.36
3,0,0,0,400,10000,4000000,0,100,2.5,11,"3,398,199","10,511,687","1,404,103",1,,,3,2.5,0,1,3.40
3,0,0,0,400,10000,4000000,0,50,2.5,11,"2,791,324","5,399,014","1,441,325",1,,,3,2.5,0,1,2.79
3,0,0,0,400,10000,4000000,0,0,2.5,11,"2,196,488","3,750,824","1,295,229",1,,,3,2.5,0,1,2.20
3,0,0,0,400,10000,4000000,10,45,2.5,11,"3,402,069","9,297,046","1,414,049",1,,,3,2.5,10,1,3.40
3,0,0,0,400,10000,4000000,20,40,2.5,11,"4,032,693","10,399,134","1,607,177",1,,,3,2.5,20,1,4.03
3,0,0,0,400,10000,4000000,30,35,2.5,11,"4,663,969","12,721,677","1,651,757",1,,,3,2.5,30,1,4.66
3,0,0,0,400,10000,4000000,40,30,2.5,11,"5,294,210","17,909,150","1,719,573",1,,,3,2.5,40,1,5.29
3,0,0,0,400,10000,4000000,50,25,2.5,11,"5,897,774","21,393,007","1,941,506",1,,,3,2.5,50,1,5.90
3,0,0,0,400,10000,4000000,55,18,2.5,11,"6,170,339","21,770,177","1,897,831",1,,,3,2.5,55,1,6.17
3,0,0,0,400,10000,4000000,60,20,2.5,11,"6,543,185","23,749,605","1,771,537",1,,,3,2.5,60,1,6.54
3,0,0,0,400,10000,4000000,70,15,2.5,11,"7,118,565","27,036,342","1,725,863",1,,,3,2.5,70,1,7.12
3,0,0,0,400,10000,4000000,80,10,2.5,11,"7,701,689","30,179,969","1,675,272",1,,,3,2.5,80,1,7.70
3,0,0,0,400,10000,4000000,90,5,2.5,11,"8,359,036","32,679,759","2,010,257",1,,,3,2.5,90,1,8.36
3,0,0,0,400,10000,4000000,100,0,2.5,11,"8,987,798","31,570,347","1,585,941",1,,,3,2.5,100,1,8.99
1,0,0,0,400,10000,4000000,0,100,2.8,11,"2,328,198","9,260,260",0,0.9929,,,1,2.8,0,0.9929,2.33
1,0,0,0,400,10000,4000000,0,0,2.8,11,"662,360","3,175,707",0,0.9411,,,1,2.8,0,0.9411,0.66
1,0,0,0,400,10000,4000000,0,50,2.8,11,"1,440,431","5,516,843",0,0.9919,,,1,2.8,0,0.9919,1.44
1,0,0,0,400,10000,4000000,10,45,2.8,11,"2,255,482","10,568,516",0,0.9982,,,1,2.8,10,0.9982,2.26
1,0,0,0,400,10000,4000000,20,40,2.8,11,"3,185,166","12,831,422",0,0.9995,,,1,2.8,20,0.9995,3.19
1,0,0,0,400,10000,4000000,30,35,2.8,11,"4,139,211","16,229,617",0,0.9995,,,1,2.8,30,0.9995,4.14
1,0,0,0,400,10000,4000000,40,30,2.8,11,"5,170,950","22,377,007",0,0.9999,,,1,2.8,40,0.9999,5.17
1,0,0,0,400,10000,4000000,50,25,2.8,11,"6,178,815","34,659,646",0,0.9999,,,1,2.8,50,0.9999,6.18
1,0,0,0,400,10000,4000000,55,18,2.8,11,"6,737,634","35,898,524",0,0.9998,,,1,2.8,55,0.9998,6.74
1,0,0,0,400,10000,4000000,60,20,2.8,11,"7,345,913","32,272,106",0,0.9998,,,1,2.8,60,0.9998,7.35
1,0,0,0,400,10000,4000000,70,15,2.8,11,"8,325,007","49,551,710",0,0.9996,,,1,2.8,70,0.9996,8.33
1,0,0,0,400,10000,4000000,80,10,2.8,11,"9,640,721","43,391,117",0,0.9999,,,1,2.8,80,0.9999,9.64
1,0,0,0,400,10000,4000000,90,5,2.8,11,"10,835,701","47,781,055",0,0.9998,,,1,2.8,90,0.9998,10.84
1,0,0,0,400,10000,4000000,100,0,2.8,11,"12,223,835","77,767,089",0,0.9994,,,1,2.8,100,0.9994,12.22
2,0,0,0,400,10000,4000000,0,50,2.8,11,"2,480,429","5,082,222","1,274,485",1,,,2,2.8,0,1,2.48
2,0,0,0,400,10000,4000000,0,100,2.8,11,"3,012,140","6,704,614","1,111,327",1,,,2,2.8,0,1,3.01
2,0,0,0,400,10000,4000000,0,0,2.8,11,"1,952,909","3,203,981","1,128,384",1,,,2,2.8,0,1,1.95
2,0,0,0,400,10000,4000000,10,45,2.8,11,"3,040,887","8,435,533","1,481,710",1,,,2,2.8,10,1,3.04
2,0,0,0,400,10000,4000000,20,40,2.8,11,"3,608,665","9,131,780","1,383,419",1,,,2,2.8,20,1,3.61
2,0,0,0,400,10000,4000000,30,35,2.8,11,"4,193,426","12,621,081","1,678,010",1,,,2,2.8,30,1,4.19
2,0,0,0,400,10000,4000000,40,30,2.8,11,"4,753,540","14,756,766","1,775,337",1,,,2,2.8,40,1,4.75
2,0,0,0,400,10000,4000000,50,25,2.8,11,"5,345,659","18,238,507","1,673,804",1,,,2,2.8,50,1,5.35
2,0,0,0,400,10000,4000000,55,18,2.8,11,"5,587,775","18,722,205","1,855,259",1,,,2,2.8,55,1,5.59
2,0,0,0,400,10000,4000000,60,20,2.8,11,"5,919,834","19,877,488","1,710,165",1,,,2,2.8,60,1,5.92
2,0,0,0,400,10000,4000000,70,15,2.8,11,"6,525,072","21,272,563","1,750,557",1,,,2,2.8,70,1,6.53
2,0,0,0,400,10000,4000000,80,10,2.8,11,"7,092,088","24,572,811","1,622,304",1,,,2,2.8,80,1,7.09
2,0,0,0,400,10000,4000000,90,5,2.8,11,"7,726,758","27,837,577","1,704,961",1,,,2,2.8,90,1,7.73
2,0,0,0,400,10000,4000000,100,0,2.8,11,"8,358,324","30,980,547","1,315,059",1,,,2,2.8,100,1,8.36
3,0,0,0,400,10000,4000000,0,100,2.8,11,"3,011,599","6,958,195","1,008,274",1,,,3,2.8,0,1,3.01
3,0,0,0,400,10000,4000000,0,0,2.8,11,"1,962,821","3,184,504","1,161,025",1,,,3,2.8,0,1,1.96
3,0,0,0,400,10000,4000000,0,50,2.8,11,"2,493,139","5,885,683","1,263,304",1,,,3,2.8,0,1,2.49
3,0,0,0,400,10000,4000000,10,45,2.8,11,"3,060,388","6,981,556","1,297,994",1,,,3,2.8,10,1,3.06
3,0,0,0,400,10000,4000000,20,40,2.8,11,"3,620,505","10,932,811","1,426,764",1,,,3,2.8,20,1,3.62
3,0,0,0,400,10000,4000000,30,35,2.8,11,"4,197,014","14,761,400","1,581,295",1,,,3,2.8,30,1,4.20
3,0,0,0,400,10000,4000000,40,30,2.8,11,"4,767,369","16,741,606","1,563,423",1,,,3,2.8,40,1,4.77
3,0,0,0,400,10000,4000000,50,25,2.8,11,"5,303,196","20,533,235","1,464,504",1,,,3,2.8,50,1,5.30
3,0,0,0,400,10000,4000000,55,18,2.8,11,"5,537,688","20,417,157","1,304,631",1,,,3,2.8,55,1,5.54
3,0,0,0,400,10000,4000000,60,20,2.8,11,"5,832,815","18,369,403","1,733,565",1,,,3,2.8,60,1,5.83
3,0,0,0,400,10000,4000000,70,15,2.8,11,"6,411,608","27,466,282","1,392,129",1,,,3,2.8,70,1,6.41
3,0,0,0,400,10000,4000000,80,10,2.8,11,"7,008,781","25,807,449","1,637,515",1,,,3,2.8,80,1,7.01
3,0,0,0,400,10000,4000000,90,5,2.8,11,"7,530,985","30,807,444","1,273,361",1,,,3,2.8,90,1,7.53
3,0,0,0,400,10000,4000000,100,0,2.8,11,"8,099,407","40,800,998","1,044,613",1,,,3,2.8,100,1,8.10
1,0,0,0,400,10000,4000000,0,100,4,11,"291,866","6,444,999",0,0.3413,,,1,4,0,0.3413,0.29
1,0,0,0,400,10000,4000000,0,0,4,11,175,"482,288",0,0.0011,,,1,4,0,0.0011,0.00
1,0,0,0,400,10000,4000000,0,50,4,11,"23,635","4,482,019",0,0.0596,,,1,4,0,0.0596,0.02
1,0,0,0,400,10000,4000000,10,45,4,11,"154,016","4,535,992",0,0.2511,,,1,4,10,0.2511,0.15
1,0,0,0,400,10000,4000000,20,40,4,11,"493,221","8,246,825",0,0.5085,,,1,4,20,0.5085,0.49
1,0,0,0,400,10000,4000000,30,35,4,11,"1,056,428","18,505,071",0,0.7013,,,1,4,30,0.7013,1.06
1,0,0,0,400,10000,4000000,40,30,4,11,"1,715,173","16,805,127",0,0.8093,,,1,4,40,0.8093,1.72
1,0,0,0,400,10000,4000000,50,25,4,11,"2,511,254","16,322,113",0,0.8777,,,1,4,50,0.8777,2.51
1,0,0,0,400,10000,4000000,55,18,4,11,"2,869,280","22,001,339",0,0.8937,,,1,4,55,0.8937,2.87
1,0,0,0,400,10000,4000000,60,20,4,11,"3,419,577","27,253,204",0,0.9172,,,1,4,60,0.9172,3.42
1,0,0,0,400,10000,4000000,70,15,4,11,"4,297,673","29,555,828",0,0.9389,,,1,4,70,0.9389,4.30
1,0,0,0,400,10000,4000000,80,10,4,11,"5,311,983","38,215,767",0,0.955,,,1,4,80,0.955,5.31
1,0,0,0,400,10000,4000000,90,5,4,11,"6,310,342","39,864,109",0,0.9648,,,1,4,90,0.9648,6.31
1,0,0,0,400,10000,4000000,100,0,4,11,"7,421,946","52,833,926",0,0.9718,,,1,4,100,0.9718,7.42
2,0,0,0,400,10000,4000000,0,100,4,11,"1,940,758","4,173,410","816,370",1,,,2,4,0,1,1.94
2,0,0,0,400,10000,4000000,0,0,4,11,"1,257,224","2,054,919","768,645",1,,,2,4,0,1,1.26
2,0,0,0,400,10000,4000000,0,50,4,11,"1,591,014","3,085,335","785,527",1,,,2,4,0,1,1.59
2,0,0,0,400,10000,4000000,10,45,4,11,"1,949,279","4,237,362","863,782",1,,,2,4,10,1,1.95
2,0,0,0,400,10000,4000000,20,40,4,11,"2,314,601","5,837,374","881,623",1,,,2,4,20,1,2.31
2,0,0,0,400,10000,4000000,30,35,4,11,"2,672,293","8,757,265","1,118,480",1,,,2,4,30,1,2.67
2,0,0,0,400,10000,4000000,40,30,4,11,"3,047,872","8,984,454","1,131,031",1,,,2,4,40,1,3.05
2,0,0,0,400,10000,4000000,50,25,4,11,"3,442,593","10,596,033","970,970",1,,,2,4,50,1,3.44
2,0,0,0,400,10000,4000000,55,18,4,11,"3,567,794","11,245,977","1,091,297",1,,,2,4,55,1,3.57
2,0,0,0,400,10000,4000000,60,20,4,11,"3,798,272","13,611,064","995,806",1,,,2,4,60,1,3.80
2,0,0,0,400,10000,4000000,70,15,4,11,"4,183,599","12,888,683","1,161,865",1,,,2,4,70,1,4.18
2,0,0,0,400,10000,4000000,80,10,4,11,"4,615,189","15,465,424","1,191,904",1,,,2,4,80,1,4.62
2,0,0,0,400,10000,4000000,90,5,4,11,"4,965,447","16,521,583","1,144,788",1,,,2,4,90,1,4.97
2,0,0,0,400,10000,4000000,100,0,4,11,"5,405,370","22,765,036","985,500",1,,,2,4,100,1,5.41
3,0,0,0,400,10000,4000000,0,100,4,11,"1,953,958","5,071,060","701,862",1,,,3,4,0,1,1.95
3,0,0,0,400,10000,4000000,0,0,4,11,"1,246,615","2,193,604","730,481",1,,,3,4,0,1,1.25
3,0,0,0,400,10000,4000000,0,50,4,11,"1,596,059","3,311,770","746,424",1,,,3,4,0,1,1.60
3,0,0,0,400,10000,4000000,10,45,4,11,"1,965,737","4,566,155","838,236",1,,,3,4,10,1,1.97
3,0,0,0,400,10000,4000000,20,40,4,11,"2,338,417","7,700,259","973,450",1,,,3,4,20,1,2.34
3,0,0,0,400,10000,4000000,30,35,4,11,"2,720,116","7,834,902","881,793",1,,,3,4,30,1,2.72
3,0,0,0,400,10000,4000000,40,30,4,11,"3,100,814","12,748,444","1,025,018",1,,,3,4,40,1,3.10
3,0,0,0,400,10000,4000000,50,25,4,11,"3,453,530","13,118,255","752,799",1,,,3,4,50,1,3.45
3,0,0,0,400,10000,4000000,55,18,4,11,"3,617,269","13,839,598","1,044,688",1,,,3,4,55,1,3.62
3,0,0,0,400,10000,4000000,60,20,4,11,"3,820,872","14,318,799","718,920",1,,,3,4,60,1,3.82
3,0,0,0,400,10000,4000000,70,15,4,11,"4,191,185","14,832,554","1,076,579",1,,,3,4,70,1,4.19
3,0,0,0,400,10000,4000000,80,10,4,11,"4,586,959","16,205,237","890,273",1,,,3,4,80,1,4.59
3,0,0,0,400,10000,4000000,90,5,4,11,"4,938,586","25,544,361","1,051,140",1,,,3,4,90,1,4.94
3,0,0,0,400,10000,4000000,100,0,4,11,"5,354,761","23,024,652","856,196",1,,,3,4,100,1,5.35
